id,name,country_code
73913_50322,DINGKU SINGH KONTHOUJAM /  PRIYA KONJENGBAM,IND
73936_73633,SUPAK JOMKOH /  KITTINUPONG KEDREN,THA
73936_74980,SUPAK JOMKOH /  SUPISSARA PAEWSAMPRAN,THA
73969,KIM GA RAM,KOR
74051,AGNES KOROSI,HUN
74076,TAKUMA OBAYASHI,JPN
74144_96990,PHATHARATHORN NIPORNRAM /  NATTAMON LAISUAN,THA
74218,CLARA AZURMENDI,ESP
74218_95780,CLARA AZURMENDI /  BEATRIZ CORRALES,ESP
74233_99411,TANUPAT VIRIYANGKURA /  ALISA SAPNITI,THA
74324_89680,KEIICHIRO MATSUI /  YOSHINORI TAKEUCHI,JPN
74324_94925,KEIICHIRO MATSUI /  KATSUKI TAMATE,JPN
74331_57397,KANG KHAI XING /  AARON TAI,MAS
74481,ANUPAMA UPADHYAYA,IND
74487_77380,PAULINA HANKIEWICZ /  KORNELIA MARCZAK,POL
74561_74686,HSU YA CHING /  LIN WAN CHING,TPE
74574_62713,WEI CHUN WEI /  NICOLE GONZALES CHAN,TPE
74574_99841,WEI CHUN WEI /  WU GUAN XUN,TPE
74579,URIEL FRANCISCO CANJURA ARTIGA,ESA
74732_94430,PRAMUDYA KUSUMAWARDANA /  YEREMIA ERICH YOCHE YACOB RAMBITAN,AUS
74803_56460,LAKSIKA KANLAHA /  PHATAIMAS MUENWONG,THA
74816_82502,JIN YONG /  NA SUNG SEUNG,KOR
74827_66528,KRISHNA PRASAD GARAGA /  VISHNUVARDHAN GOUD PANJALA,IND
74827_77389,KRISHNA PRASAD GARAGA /  SAI PRATHEEK.K,IND
74871_99025,MALIK BOURAKKADI /  LEONA MICHALSKI,GER
74980_68441,SUPISSARA PAEWSAMPRAN /  PUTTITA SUPAJIRAKUL,THA
74987_95072,LUIS ARMANDO MONTOYA NAVARRO /  MIRIAM JACQUELINE RODRIGUEZ PEREZ,MEX
75014,EOGENE EWE,MAS
75174,LEE YU-HSUAN,TPE
75190_88389,SIMRAN SINGHI /  RITIKA THAKER,IND
75193,JOHANITA SCHOLTZ,RSA
75270_78687,CHANG CHING HUI /  YANG CHING TUN,TPE
75414_85127,SERENA AU YEONG /  KATHARINA HOCHMEIR,AUT
75575,JIA WEI JOEL KOH,SGP
75628,ASHMITA CHALIHA,IND
75678,NGUYEN THUY LINH,VIE
75729_94032,OLEKSII TITOV /  YEVHENIIA KANTEMYR,UKR
75829_60896,CHEN ZHI RAY /  LU CHEN,TPE
75829_78687,CHEN ZHI RAY /  YANG CHING TUN,TPE
75829_92504,CHEN ZHI RAY /  LIN YU CHIEH,TPE
75904_72504,RUTTANAPAK OUPTHONG /  JHENICHA SUDJAIPRAPARAT,THA
76031_58111,MIKKEL MIKKELSEN /  RIKKE SØBY,DEN
76079,RIKO GUNJI,JPN
76115,LOH KEAN YEW,SGP
76275_87176,YANG PO-HSUAN /  HU LING FANG,TPE
76278_72478,BEN LANE /  SEAN VENDY,ENG
76281_60838,AMRI SYAHNAWI /  NITA VIOLINA MARWAH,INA
76281_77284,AMRI SYAHNAWI /  WINNY OKTAVINA KANDOW,INA
76717_80299,LEE CHIA HSIN /  TENG CHUN HSUN,TPE
76851,ISHARANI BARUAH,IND
76890,PUTRI KUSUMA WARDANI,INA
76973,MARK CALJOUW,NED
77002,JULIE DAWALL JAKOBSEN,DEN
77003,SAMEER VERMA,IND
77042,WENG HONG YANG,CHN
77143,XIAODONG SHENG,CAN
77228_85056,IZAK BATALHA /  MATHEUS VOIGT,BRA
77256,QI XUEFEI,FRA
77262_66513,KANG MIN HYUK /  SEO SEUNG JAE,KOR
77296,WONG LING CHING,MAS
77386_64300,LEE CHIH CHEN /  LIN YEN YU,TPE
77389_94165,SAI PRATHEEK.K /  TANISHA CRASTO,IND
77393_62853,AMINATH NABEEHA ABDUL RAZZAQ /  FATHIMATH NABAAHA ABDUL RAZZAQ,MDV
77427,LU GUANG ZU,CHN
77441_71065,SETYANA MAPASA /  ANGELA YU,AUS
77589_84050,ELSA JACOB /  CAMILLE POGNANTE,FRA
77689_61435,TANG CHUN MAN /  TSE YING SUET,HKG
77752_65389,"LIM TZE JIAN /  DESIREE, HAO SHAN SIOW",MAS
77752_71294,LIM TZE JIAN /  WONG TIEN CI,MAS
77848,CHI YU JEN,TPE
77909_66258,ANASTASIA KHOMICH /  DARIA ZIMNOL,POL
77949_82408,LIU CHIAO-YUN /  WANG YU QIAO,TPE
78073_88809,KONA TARUN /  SRI KRISHNA PRIYA KUDARAVALLI,IND
78116,GAO FANG JIE,CHN
78121_85127,PHILIP BIRKER /  KATHARINA HOCHMEIR,AUT
78192_73899,LUCAS RENOIR /  TEA MARGUERITTE,FRA
78208,RACHEL CHAN,CAN
78409_85129,MAN WEI CHONG /  KAI WUN TEE,MAS
78425_54805,BOON XIN YUAN /  GOH V SHEM,MAS
78425_71294,BOON XIN YUAN /  WONG TIEN CI,MAS
78641_99177,MALENA NORRMAN /  LIA SALEHAR,SWE
78778,CHEN YU FEI,CHN
78795_57180,STINE KUESPERT /  EMMA MOSZCZYNSKI,GER
78837_60567,LI WEN MEI /  LIU XUAN XUAN,CHN
78837_85914,LI WEN MEI /  ZHANG SHU XIAN,CHN
78839_79501,TAKUMI NOMURA /  YUICHI SHIMOGAMI,JPN
78890,ADE RESKY DWICAHYO,AZE
78890_77163,ADE RESKY DWICAHYO /  AZMY QOWIMURAMADHONI,AZE
78935_78795,JAN COLIN VOELKER /  STINE KUESPERT,GER
78935_98052,JAN COLIN VOELKER /  ISABEL LOHAU,GER
78948_56522,DAVI SILVA /  SANIA LIMA,BRA
79052_75270,PO LI-WEI /  CHANG CHING HUI,TPE
79078,KEISHA FATIMAH AZZAHRA,AZE
79078_73120,KEISHA FATIMAH AZZAHRA /  ERA MAFTUHA,AZE
79082,WU LUO YU,CHN
79110,SHOLEH AIDIL,MAS
79164,SATHISH KUMAR KARUNAKARAN,IND
79164_64431,SATHISH KUMAR KARUNAKARAN /  AADYA VARIYATH,IND
79258,INES LUCIA CASTILLO,PER
79258_95819,INES LUCIA CASTILLO /  PAULA LA TORRE,PER
79501_59014,YUICHI SHIMOGAMI /  SAYAKA HOBARA,JPN
79662,ANUOLUWAPO JUWON OPEYORI,NGR
79664_67761,FEBRIANA DWIPUJI KUSUMA /  AMALLIA CAHAYA PRATIWI,INA
79732_99220,CHIA WEIJIE /  LIEW XUN,MAS
79906_70747,KAKERU KUMAGAI /  KOTA OGAWA,JPN
80078_70376,MAIKO KAWAZOE /  HARUNA KONISHI,JPN
80229_94834,ZACHARIAH JOSIAHNO SUMANTI /  HEDIANA JULIMARBELA,INA
